"id","market_public_id","market_id","market_currency_name","market_currency_value","market_currency_dollar_value"
1,"5b920b9041",3,"EBT Match",2,1
2,"5b920b9041",3,"EBT Tokens",1,1
29,"5b920b9041",3,"ATM",1,1
36,"5b9f075407",138,"EBT Match",1,1
39,"5ba92160e8",175,"EBT Tokens",1,1
41,"5ba92160e8",175,"MM Tokens",1,1
43,"5ba92160e8",175,"MM Vouchers",1,1
45,"5ba92160e8",175,"FMNP FVC",1,1
47,"5ba92160e8",175,"Open Door",1,1
49,"5ba92160e8",175,"Piersons",1,1
54,"5ba92160e8",175,"ncga",1,1
56,"5b920b9041",3,"ebt_total_in",1,1
57,"5b920b9041",3,"cambria",1,1
